City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ternate,0.8,127.4,27.14,78,96,1.88,ID,1674518676
1,new norfolk,-42.7826,147.0587,24.28,52,11,0.93,AU,1674518637
2,araouane,18.9048,-3.5265,19.94,15,1,4.52,ML,1674518678
3,mataura,-46.1927,168.8643,18.85,40,58,0.54,NZ,1674518678
4,jamestown,42.097,-79.2353,-0.55,72,100,4.63,US,1674518626
5,avarua,-21.2078,-159.775,28.03,74,20,2.57,CK,1674518679
6,faanui,-16.4833,-151.75,25.54,76,100,6.1,PF,1674518679
7,butaritari,3.0707,172.7902,26.85,80,88,8.3,KI,1674518680
8,lalpur,22.2,69.9667,14.7,52,0,4.48,IN,1674518680
9,tuatapere,-46.1333,167.6833,16.57,50,24,2.3,NZ,1674518681
10,chokurdakh,70.6333,147.9167,-35.21,100,92,1.34,RU,1674518681
11,nyazepetrovsk,56.0531,59.6028,-17.53,100,99,1.52,RU,1674518682
12,nikolskoye,59.7035,30.7861,-6.06,95,67,3.05,RU,1674518682
13,vardo,70.3705,31.1107,-2.01,86,0,11.32,NO,1674518683
14,okahandja,-21.9833,16.9167,18.9,84,100,6.51,NA,1674518683
15,bredasdorp,-34.5322,20.0403,17.45,75,4,3.06,ZA,1674518683
16,kodiak,57.79,-152.4072,4.73,81,100,1.54,US,1674518684
17,taoudenni,22.6783,-3.9836,17.46,22,0,3.31,ML,1674518685
18,ulaanbaatar,47.9077,106.8832,-31.01,74,16,2.53,MN,1674518498
19,luderitz,-26.6481,15.1594,16.84,84,0,5.35,NA,1674518685
20,thompson,55.7435,-97.8558,-29.02,99,34,1.38,CA,1674518686
21,albany,42.6001,-73.9662,-0.35,84,98,4.47,US,1674518603
22,souillac,-20.5167,57.5167,23.55,77,100,2.08,MU,1674518687
23,sakaiminato,35.55,133.2333,1.96,66,100,12.44,JP,1674518687
24,constitucion,-35.3333,-72.4167,15.99,92,16,3.42,CL,1674518688
25,lasa,46.6166,10.7002,0.2,96,91,1.01,IT,1674518688
26,hithadhoo,-0.6,73.0833,26.43,77,76,4.28,MV,1674518688
27,tezu,27.9167,96.1667,13.25,37,95,1.84,IN,1674518689
28,wanning,18.8003,110.3967,17.93,87,100,7.55,CN,1674518689
29,kapaa,22.0752,-159.319,27.18,74,0,3.09,US,1674518690
30,kamina,-8.7386,24.9906,16.23,89,99,1.08,CD,1674518690
31,kotelnich,58.3089,48.348,-19.05,100,100,1.52,RU,1674518691
32,rio cuarto,-33.1307,-64.3499,25.82,32,30,5.3,AR,1674518691
33,dawlatabad,36.4141,64.9053,-4.69,90,56,1.01,AF,1674518691
34,balasheyka,53.2841,48.0851,-16.64,89,47,2.09,RU,1674518692
35,vaini,-21.2,-175.2,26.91,71,98,1.55,TO,1674518693
36,rikitea,-23.1203,-134.9692,26.43,74,19,7.81,PF,1674518693
37,port-gentil,-0.7193,8.7815,27.35,78,100,3.88,GA,1674518693
38,hobyo,5.3505,48.5268,24.45,78,15,9.93,SO,1674518694
39,ushuaia,-54.8,-68.3,8.81,93,100,8.23,AR,1674518694
40,punta arenas,-53.15,-70.9167,13.06,50,0,10.29,CL,1674518621
41,noumea,-22.2763,166.4572,29.99,99,94,2.2,NC,1674518467
42,cherskiy,68.75,161.3,-26.68,94,100,2.01,RU,1674518695
43,provideniya,64.3833,-173.3,-14.94,61,20,7.0,RU,1674518695
44,katherine,-14.4667,132.2667,29.18,70,97,5.66,AU,1674518696
45,rio gallegos,-51.6226,-69.2181,15.5,34,100,10.32,AR,1674518696
46,san cristobal,7.7669,-72.225,18.97,87,76,1.35,VE,1674518697
47,meiktila,20.8667,95.8667,14.86,47,60,3.1,MM,1674518697
48,kodinsk,58.6881,99.1844,-23.43,99,100,1.11,RU,1674518698
